league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
LaLiga,2223,Real Madrid,Luka Modrić,CRO,MF,36,1985,33,19,1744,19.4,4,3,7,3,1,1,7,0,0.21,0.15,0.36,0.15,0.31
LaLiga,2223,Real Madrid,Marco Asensio,ESP,"FW,MF",26,1996,31,15,1442,16.0,9,6,15,9,0,1,1,0,0.56,0.37,0.94,0.56,0.94
LaLiga,2223,Real Madrid,Mariano,DOM,FW,28,1993,9,1,157,1.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Real Madrid,Nacho,ESP,DF,32,1990,27,18,1637,18.2,1,1,2,1,0,0,7,0,0.05,0.05,0.11,0.05,0.11
LaLiga,2223,Real Madrid,Rodrygo,BRA,FW,21,2001,34,25,2379,26.4,9,8,17,8,1,1,4,0,0.34,0.3,0.64,0.3,0.61
LaLiga,2223,Real Madrid,Sergio Arribas,ESP,MF,20,2001,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Real Madrid,Thibaut Courtois,BEL,GK,30,1992,31,31,2790,31.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Real Madrid,Toni Kroos,GER,MF,32,1990,30,25,2155,23.9,2,4,6,2,0,0,2,1,0.08,0.17,0.25,0.08,0.25
LaLiga,2223,Real Madrid,Vinicius Júnior,BRA,FW,22,2000,33,32,2823,31.4,10,9,19,10,0,0,10,1,0.32,0.29,0.61,0.32,0.61
LaLiga,2223,Real Madrid,Álvaro Odriozola,ESP,DF,26,1995,3,0,39,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Real Madrid,Álvaro Rodríguez,URU,FW,18,2004,6,0,79,0.9,1,1,2,1,0,0,0,0,1.14,1.14,2.28,1.14,2.28
LaLiga,2223,Real Madrid,Éder Militão,BRA,DF,24,1998,33,30,2703,30.0,5,0,5,5,0,0,4,0,0.17,0.0,0.17,0.17,0.17
LaLiga,2223,Real Sociedad,Aihen Muñoz,ESP,DF,24,1997,23,20,1756,19.5,0,1,1,0,0,0,2,0,0.0,0.05,0.05,0.0,0.05
LaLiga,2223,Real Sociedad,Alex Sola,ESP,DF,23,1999,10,3,349,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Real Sociedad,Alexander Isak,SWE,FW,22,1999,2,2,152,1.7,1,0,1,1,0,0,0,0,0.59,0.0,0.59,0.59,0.59
LaLiga,2223,Real Sociedad,Alexander Sørloth,NOR,FW,26,1995,34,28,2386,26.5,12,3,15,12,0,0,4,0,0.45,0.11,0.57,0.45,0.57
LaLiga,2223,Real Sociedad,Ander Barrenetxea,ESP,"DF,MF",20,2001,23,9,878,9.8,3,1,4,3,0,0,4,0,0.31,0.1,0.41,0.31,0.41
LaLiga,2223,Real Sociedad,Ander Guevara,ESP,MF,25,1997,8,2,221,2.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Real Sociedad,Ander Martin,ESP,MF,21,2000,3,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Real Sociedad,Andoni Gorosabel,ESP,DF,25,1996,27,19,1708,19.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Real Sociedad,Aritz Elustondo,ESP,DF,28,1994,25,16,1449,16.1,0,1,1,0,0,0,5,1,0.0,0.06,0.06,0.0,0.06
LaLiga,2223,Real Sociedad,Asier Illarramendi,ESP,MF,32,1990,24,13,1076,12.0,1,0,1,1,0,0,5,0,0.08,0.0,0.08,0.08,0.08
LaLiga,2223,Real Sociedad,Beñat Turrientes,ESP,MF,20,2002,6,1,106,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Real Sociedad,Brais Méndez,ESP,MF,25,1997,34,28,2407,26.7,8,4,12,8,0,0,6,0,0.3,0.15,0.45,0.3,0.45
LaLiga,2223,Real Sociedad,Carlos Fernández,ESP,FW,26,1996,24,8,631,7.0,1,0,1,1,0,0,6,0,0.14,0.0,0.14,0.14,0.14
LaLiga,2223,Real Sociedad,David Silva,ESP,"MF,FW",36,1986,28,25,1937,21.5,2,5,7,2,0,0,3,0,0.09,0.23,0.33,0.09,0.33
LaLiga,2223,Real Sociedad,Diego Rico,ESP,DF,29,1993,20,18,1646,18.3,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Real Sociedad,Igor Zubeldia,ESP,DF,25,1997,31,29,2542,28.2,1,1,2,1,0,0,11,0,0.04,0.04,0.07,0.04,0.07
LaLiga,2223,Real Sociedad,Jon Karrikaburu,ESP,FW,19,2002,6,0,93,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Real Sociedad,Jon Magunazelaia,ESP,MF,21,2001,2,0,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Real Sociedad,Jon Pacheco,ESP,DF,21,2001,17,12,1193,13.3,0,1,1,0,0,0,2,0,0.0,0.08,0.08,0.0,0.08
LaLiga,2223,Real Sociedad,Martín Zubimendi,ESP,MF,23,1999,36,35,3101,34.5,1,3,4,1,0,0,12,0,0.03,0.09,0.12,0.03,0.12
LaLiga,2223,Real Sociedad,Mikel Merino,ESP,MF,26,1996,33,28,2494,27.7,2,9,11,2,0,1,5,1,0.07,0.32,0.4,0.07,0.4
LaLiga,2223,Real Sociedad,Mikel Oyarzabal,ESP,"FW,MF",25,1997,23,14,1214,13.5,4,1,5,2,2,3,1,0,0.3,0.07,0.37,0.15,0.22
LaLiga,2223,Real Sociedad,Mohamed Ali Cho,FRA,"FW,MF",18,2004,19,5,587,6.5,1,2,3,1,0,0,1,0,0.15,0.31,0.46,0.15,0.46
LaLiga,2223,Real Sociedad,Olasagasti,ESP,MF,21,2000,3,0,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Real Sociedad,Pablo Marín,ESP,MF,19,2003,10,3,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Real Sociedad,Roberto Navarro,ESP,MF,20,2002,17,1,351,3.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Real Sociedad,Robin Le Normand,ESP,DF,25,1996,33,31,2796,31.1,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Real Sociedad,Takefusa Kubo,JPN,"FW,MF",21,2001,35,29,2439,27.1,9,4,13,9,0,0,3,0,0.33,0.15,0.48,0.33,0.48
LaLiga,2223,Real Sociedad,Umar Sadiq,NGA,FW,25,1997,2,1,82,0.9,1,0,1,1,0,0,0,0,1.1,0.0,1.1,1.1,1.1
LaLiga,2223,Real Sociedad,Álex Remiro,ESP,GK,27,1995,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Sevilla,Adnan Januzaj,BEL,MF,27,1995,2,1,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Sevilla,Alex Telles,BRA,"DF,MF",29,1992,27,15,1427,15.9,0,2,2,0,0,0,6,0,0.0,0.13,0.13,0.0,0.13
LaLiga,2223,Sevilla,Bryan Gil,ESP,MF,21,2001,17,10,918,10.2,2,2,4,2,0,0,4,0,0.2,0.2,0.39,0.2,0.39
LaLiga,2223,Sevilla,Carlos Álvarez,ESP,MF,18,2003,1,0,10,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Sevilla,Carmona,ESP,DF,20,2002,10,5,527,5.9,2,1,3,2,0,0,6,1,0.34,0.17,0.51,0.34,0.51
LaLiga,2223,Sevilla,Diego Iturralde,ESP,DF,19,2003,1,1,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Sevilla,Fernando,BRA,"MF,DF",35,1987,22,19,1577,17.5,0,1,1,0,0,0,3,1,0.0,0.06,0.06,0.0,0.06
LaLiga,2223,Sevilla,Gonzalo Montiel,ARG,DF,25,1997,28,17,1524,16.9,0,3,3,0,0,0,8,1,0.0,0.18,0.18,0.0,0.18
LaLiga,2223,Sevilla,Isco,ESP,"MF,FW",30,1992,12,10,799,8.9,0,2,2,0,0,0,5,0,0.0,0.23,0.23,0.0,0.23
LaLiga,2223,Sevilla,Ivan Rakitić,CRO,MF,34,1988,31,21,1788,19.9,1,3,4,0,1,2,3,1,0.05,0.15,0.2,0.0,0.15
LaLiga,2223,Sevilla,Iván Romero,ESP,"FW,MF",21,2001,1,0,11,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Sevilla,Jesús Corona,MEX,MF,29,1993,4,1,111,1.2,1,0,1,1,0,0,0,0,0.81,0.0,0.81,0.81,0.81
LaLiga,2223,Sevilla,Jesús Navas,ESP,"DF,MF",36,1985,32,21,1981,22.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Sevilla,Joan Jordán,ESP,MF,28,1994,23,19,1592,17.7,0,1,1,0,0,0,8,0,0.0,0.06,0.06,0.0,0.06
LaLiga,2223,Sevilla,Karim Rekik,NED,DF,27,1994,16,15,1181,13.1,1,1,2,1,0,0,2,0,0.08,0.08,0.15,0.08,0.15
LaLiga,2223,Sevilla,Kasper Dolberg,DEN,FW,24,1997,4,2,197,2.2,0,1,1,0,0,0,0,0,0.0,0.46,0.46,0.0,0.46
LaLiga,2223,Sevilla,Kike Salas,ESP,DF,20,2002,6,4,368,4.1,1,1,2,1,0,0,1,1,0.24,0.24,0.49,0.24,0.49
